Bluestone Lane Manhattan West Café, 435 W 31st St, New York, NY 10001, United States, United
maman, 471 W 33rd St, New York, NY 10001, United States, United
Kilogram Cafe, 221 W 29th St, New York, NY 10001, United States, United
Daily Provisions - Manhattan West, 440 W 33rd St Suite 90, New York, NY 10001, United States, United
Pret A Manger, 342 7th Ave, New York, NY 10001, United States, United
Seven Grams Caffe, 275 7th Ave, New York, NY 10001, United States, United
Cafe Bravo, 352 9th Ave, New York, NY 10001, United States, United
La Colombe Coffee Roasters, 601 W 27th St, New York, NY 10001, United States, United
Starbucks, 450 W 33rd St, New York, NY 10001, United States, United
Cafe Grumpy - Manhattan West, inside Whole Foods Market, 450 W 33rd St, New York, NY 10001, United States, United
Bluestone Lane 20 Hudson Yards Coffee Shop, 20 Hudson Yards 3rd Floor, New York, NY 10001, United States, United
Kawande Martin Cafe, W 33rd St, New York, NY 10001, United States, United
Black Fox Coffee, 438 W 33rd St, New York, NY 10001, United States, United
In Common NYC Cafe, 441 9th Ave Suite 101, New York, NY 10001, United States, United
Starbucks, 330 W 34th St., New York, NY 10001, United States, United
Chocolate Moonshine Cafe, Entrance on Second Floor of Macy's, women's shoes, by Coach and UGGs, 151 W 34th St., New York, NY 10001, United States, United
Grace Street Coffee & Desserts, 17 W 32nd St, New York, NY 10001, United States, United
{petite} maman, 441 8th Ave Concourse Level - Food Hall, New York, NY 10001, United States, United
Citizens Of Chelsea, A Breakfast Restaurant, 401 W 25th St, New York, NY 10001, United States, United
Gregorys Coffee, 356 7th Ave, New York, NY 10001, United States, United
Think Coffee, 246 5th Ave, New York, NY 10001, United States, United
Gregorys Coffee, 874 6th Ave, New York, NY 10001, United States, United
Bean & Bean Chelsea, 318 8th Ave, New York, NY 10001, United States, United
Think Coffee, 500 W 30th St, New York, NY 10001, United States, United
Variety Coffee Roasters, 261 7th Ave, New York, NY 10001, United States, United
Au Bon Pain, 151 W 34th St. 8th floor, New York, NY 10001, United States, United
Starbucks, 383 W 31st St, New York, NY 10001, United States, United
Bluestone Lane 55 Hudson Yards Café, 55 Hudson Yards, New York, NY 10001, United States, United
Old Country Coffee, 455 W 34th St., New York, NY 10001, United States, United
Starbucks, 315 7th Ave, New York, NY 10001, United States, United
Paper Coffee, 44 W 29th St, New York, NY 10001, United States, United
Frame Gourmet Eatery, 424 W 33rd St, New York, NY 10001, United States, United
Blue Bottle Coffee, 441 8th Ave #68, New York, NY 10001, United States, United
Bluestone Lane Coffee 30 Hudson Yards, 500 W 33rd St #30, New York, NY 10001, United States, United
Metro Cafe, 297 7th Ave, New York, NY 10001, United States, United
Le Pain Quotidien, 339 7th Ave, New York, NY 10001, United States, United
Cha Cha Matcha (MOYNIHAN), 421 8th Ave suite 40, New York, NY 10001, United States, United
Coffe bar, 875 6th Ave, New York, NY 10001, United States, United
Jessie's Express Cafe, 411 8th Ave, New York, NY 10001, United States, United
Patent Coffee, 49 W 27th St, New York, NY 10001, United States, United
King's Street Coffee, 121 W 30th St, New York, NY 10001, United States, United
Café Grumpy - Fashion District, 200 W 39th St, New York, NY 10018, United States, United
Dunkin', 316 W 34th St., New York, NY 10001, United States, United
Starbucks, 370 7th Ave, New York, NY 10001, United States, United
Cafe Aroma, 502 9th Ave, New York, NY 10018, United States, United
Le Bon Cafe, 1 Pennsylvania Plaza #1612, New York, NY 10119, United States, United
Irving Farm New York, 1250 Broadway, New York, NY 10001, United States, United
Starbucks, 11 Pennsylvania Plaza, New York, NY 10001, United States, United
Starbucks, 494 8th Ave, New York, NY 10001, United States, United
Gileas Cafe Street, 300 12th Ave, New York, NY 10001, United States, United
Le Cafe Coffee, 501 Fashion Ave, New York, NY 10018, United States, United
Marathon Coffee, 769 6th Ave, New York, NY 10001, United States, United
Madman Espresso, 234 W 35th St, New York, NY 10123, United States, United
Culture Espresso, 247 W 36 St, New York, NY 10018, United States, United
Dunkin', Madison Square Garden, 4 Pennsylvania Plaza, New York, NY 10001, United States, United
Café Hestia, 513 7th Ave, New York, NY 10018, United States, United
Aleef Cafe, 333 W 39th St, New York, NY 10018, United States, United
Dunkin', 411 9th Ave, New York, NY 10001, United States, United
Trato, 16 Pennsylvania Plaza #541, New York, NY 10001, United States, United
Blue Bottle Coffee, 20 Hudson Yards #228, New York, NY 10018, United States, United
