Urban Vegan Kitchen, 41 Carmine St, New York, NY 10014, United States, United
Delice & Sarrasin, 178 W Houston St, New York, NY 10014, United States, United
Wild, 535 Hudson St, New York, NY 10014, United States, United
The Butcher's Daughter, 581 Hudson St, New York, NY 10014, United States, United
Two Boots West Village, 101 7th Ave S, New York, NY 10014, United States, United
Fons - Plant Based Empanadas, 228 Bleecker St, New York, NY 10014, United States, United
taim mediterranean kitchen - West Village, 222 Waverly Pl, New York, NY 10014, United States, United
sweetgreen, 32 Gansevoort St, New York, NY 10014, United States, United
sweetgreen, 226 Bleecker St, New York, NY 10014, United States, United
Jajaja Mexicana, 63 Carmine St, New York, NY 10014, United States, United
Ramen DANBO West Village, 48 Carmine St, New York, NY 10014, United States, United
Balaboosta, 611 Hudson St, New York, NY 10014, United States, United
Zazzy's Pizza, 73 Greenwich Ave, New York, NY 10014, United States, United
Ghandi Cafe, 283 Bleecker St, New York, NY 10014, United States, United
Juice Generation, 245 Bleecker St, New York, NY 10014, United States, United
The Grey Dog, 49 Carmine St, New York, NY 10014, United States, United
Taco Mahal, 73 7th Ave S, New York, NY 10014, United States, United
Banter NYC Hudson, 643 Hudson St, New York, NY 10014, United States, United
Móle, 57 Jane St #5131, New York, NY 10014, United States, United
Poke Rice, 162 West 4th Street, New York, NY 10014, United States, United
Chipotle Mexican Grill, 405 6th Ave, New York, NY 10014, United States, United
Little Owl, 90 Bedford St, New York, NY 10014, United States, United
Juice Press, 375 Hudson St, New York, NY 10014, United States, United
Amber, 135 Christopher St, New York, NY 10014, United States, United
Nami Nori, 33 Carmine St, New York, NY 10014, United States, United
Hudson Clearwater, 447 Hudson St, New York, NY 10014, United States, United
EN Japanese Brasserie, 435 Hudson St, New York, NY 10014, United States, United
Jack’s Stir Brew Coffee, 138 W 10th St, New York, NY 10014, United States, United
Extra Virgin, 259 West 4th Street, New York, NY 10014, United States, United
The Wesley, 310 West 4th Street, New York, NY 10014, United States, United
JOE & THE JUICE, 549 Hudson St, New York, NY 10014, United States, United
Merriweather Coffee + Kitchen, 428 Hudson St, New York, NY 10014, United States, United
Mémé, 581 Hudson St, New York, NY 10014, United States, United
Jack's Wife Freda - West Village, 50 Carmine St, New York, NY 10014, United States, United
WEST10WEST, 242 W 10th St, New York, NY 10014, United States, United
The Mary Lane, 99 Bank St, New York, NY 10014, United States, United
Banter NYC - West Village, 643 Hudson St, New York, NY 10014, United States, United
Market Table, 54 Carmine St, New York, NY 10014, United States, United
DIG on Bleecker, 232 Bleecker St, New York, NY 10014, United States, United
maman, 375 Hudson St, New York, NY 10014, United States, United
Westville West, 210 W 10th St, New York, NY 10014, United States, United
Matchaful, 87 Christopher St, New York, NY 10014, United States, United
Tacombi, 255 Bleecker St, New York, NY 10014, United States, United
FIG & OLIVE, 420 W 13th St, New York, NY 10014, United States, United
Bonsignour, 35 Jane St, New York, NY 10014, United States, United
Juice Press, 421 Hudson St, New York, NY 10014, United States, United
Made in New York Pizza, 561 Hudson St, New York, NY 10014, United States, United
Móle Mexican Bar & Grill - West Village, 57 Jane St #5131, New York, NY 10014, United States, United
Veggie Grill, 491 West 4th Street, New York, NY 10014, United States, United
Top Thai 55 Carmine, 55 Carmine St, New York, NY 10014, United States, United
Ruby's Cafe - West Village, 225 West 4th Street, New York, NY 10014, United States, United
Village Square Pizza - West Village, 118 Christopher St, New York, NY 10014, United States, United
Tavern On Jane, 31 8th Ave, New York, NY 10014, United States, United
Taco Bell, 230 Varick St, New York, NY 10014, United States, United
Moustache Pitza, 29 7th Ave S, New York, NY 10014, United States, United
Misoya, 535 Hudson St, New York, NY 10014, United States, United
TUE THAI FOOD, 3 Greenwich Ave, New York, NY 10014, United States, United
The Grey Dog - West Village, 49 Carmine St, New York, NY 10014, United States, United
Hercules Cafe, 275 Bleecker St, New York, NY 10014, United States, United
Fons Empanadas, 228 Bleecker St, New York, NY 10014, United States, United
Little Ruby's West Village, 225 West 4th Street, New York, NY 10014, United States, United
