Hungry Betty Café, 2416 Broadway, New York, NY 10024, United States, United
Bluestone Lane Upper West Side Café, 417 Amsterdam Ave, New York, NY 10024, United States, United
Amsterdam Cafe, 481 Amsterdam Ave, New York, NY 10024, United States, United
Blank Street Coffee, 2218 Broadway, New York, NY 10024, United States, United
Blank Street Coffee, 2345 Broadway, New York, NY 10024, United States, United
ARTISAN CAFE, 608a Amsterdam Ave, New York, NY 10024, United States, United
Forever Coffee, 2263 Broadway, New York, NY 10024, United States, United
Daily Provisions - Upper West Side, 375 Amsterdam Ave, New York, NY 10024, United States, United
Crossbar, 250 W 86th St, New York, NY 10024, United States, United
Joe Coffee Company, 514 Columbus Ave, New York, NY 10024, United States, United
About Coffee, 445 Columbus Ave, New York, NY 10024, United States, United
maman, 429 Amsterdam Ave, New York, NY 10024, United States, United
Chalait UWS, 461 Amsterdam Ave, New York, NY 10024, United States, United
Parliament Espresso and Coffee Bar, 170 Central Park West, New York, NY 10024, United States, United
Starbucks, 444 Columbus Ave, New York, NY 10024, United States, United
Starbucks, 540 Columbus Ave, New York, NY 10024, United States, United
Matto Espresso, 530 Columbus Ave, New York, NY 10024, United States, United
Irving Farm New York, 224 W 79th St, New York, NY 10024, United States, United
Starbucks, 2252 Broadway, New York, NY 10024, United States, United
Cafe Eighty Two, 2282 Broadway, New York, NY 10024, United States, United
Milk Bar, 561 Columbus Ave, New York, NY 10024, United States, United
Columbus Cafe, 556 Columbus Ave, New York, NY 10024, United States, United
Cafe on 4, 200 Central Park West Fourth floor, New York, NY 10024, United States, United
Le Pain Quotidien, 2161 Broadway, New York, NY 10024, United States, United
Wafels & Dinges, 392 Columbus Ave, New York, NY 10024, United States, United
Cafe on 1, 200 Central Park West, New York, NY 10024, United States, United
Cafe - Eat In, 426 Amsterdam Ave, New York, NY 10024, United States, United
Starbucks, 2370 Broadway, New York, NY 10024, United States, United
French Roast, 2340 Broadway, New York, NY 10024, United States, United
Dunkin', 2414 Broadway, New York, NY 10024, United States, United
Central park cafe, Central Park West & 79st, New York, NY 10024, United States, United
Dunkin', 353 Amsterdam Ave, New York, NY 10024, United States, United
Barachou Upper West Side, 449 Amsterdam Avenue Between 81st &, W 82nd St, New York, NY 10024, United States, United
LENWICH, 469 Columbus Ave, New York, NY 10024, United States, United
Edgar's Cafe, 650 Amsterdam Ave, New York, NY 10025, United States, United
Peacefood Uptown, 460 Amsterdam Ave, New York, NY 10024, United States, United
Mochi Dolci, 222 W 79th St, New York, NY 10024, United States, United
Dunkin', 535 Amsterdam Ave Unit A, New York, NY 10024, United States, United
Patis Bakery, 2178 Broadway, New York, NY 10024, United States, United
Modern Bread and Bagel, 472 Columbus Ave, New York, NY 10024, United States, United
Good Enough To Eat, 520 Columbus Ave, New York, NY 10024, United States, United
Dunkin', 2264 Broadway, New York, NY 10024, United States, United
The Viand, 517 Columbus Ave, New York, NY 10024, United States, United
Amorino, 414 Amsterdam Ave, New York, NY 10024, United States, United
Storico, 170 Central Park West, New York, NY 10024, United States, United
