Central Rock Gym, 21 West End Ave, New York, NY 10069, United States, United
VITAL Climbing Gym - West Harlem, 3225 Broadway, New York, NY 10027, United States, United
VITAL Climbing Gym - Upper East, 1506 Lexington Ave, New York, NY 10029, United States, United
The Cliffs At Harlem, 256 W 125th St, New York, NY 10027, United States, United
Brooklyn Boulders Queensbridge, 23-10 41st Ave, Queens, NY 11101, United States, United
Central Rock Gym, 537 W 27th St, New York, NY 10001, United States, United
Umpire Rock, Central Park S, New York, NY 10019, United States, United
The Cliffs at LIC, 11-11 44th Dr, Queens, NY 11101, United States, United
VITAL Climbing Gym - Lower East Side, 182 Broome St, New York, NY 10002, United States, United
Manhattan Plaza Health Club, 482 W 43rd St 2nd floor, New York, NY 10036, United States, United
The Cliffs at Gowanus, 242 Butler St, Brooklyn, NY 11217, United States, United
The Gravity Vault Hoboken, NJ, 1423 Clinton St, Hoboken, NJ 07030, United States, United
MetroRock Bushwick, 321 Starr St, Brooklyn, NY 11237, United States, United
Columbus Gym, 606 Columbus Ave floor 2, New York, NY 10024, United States, United
VITAL Climbing Gym - Brooklyn, 221 N 14th St, Brooklyn, NY 11249, United States, United
City Climb, 30 Hudson Yards, New York, NY 10001, United States, United
Goat Climbing Gym, 77 River St, Hackensack, NJ 07601, United States, United
The Mountain 10 Initiative, 347 Palisade Ave, Cliffside Park, NJ 07010, United States, United
The Rock Club, 130 Rhodes St, New Rochelle, NY 10801, United States, United
Rise Nation Noho, 676 Broadway, New York, NY 10012, United States, United
Climbing Gym, Queens, NY 11101, United States, United
Island Rock, 60 Skyline Dr, Plainview, NY 11803, United States, United
PROnatal Fitness, 127 W 79th St #2D, New York, NY 10024, United States, United
New York Sports Club, 248 W 80th St, New York, NY 10024, United States, United
GP81, 81 Quay St, Brooklyn, NY 11222, United States, United
Bouldering Project, 575 Degraw St, Brooklyn, NY 11217, United States, United
