Bustan NYC, 487 Amsterdam Ave, New York, NY 10024, United States, United
Lokal Mediterranean Kitchen, 473 Columbus Ave, New York, NY 10024, United States, United
Land Thai Kitchen, 450 Amsterdam Ave, New York, NY 10024, United States, United
Coppola's West, 206 W 79th St, New York, NY 10024, United States, United
Pekarna NYC, 594 Amsterdam Ave, New York, NY 10024, United States, United
Osteria Cotta, 513 Columbus Ave, New York, NY 10024, United States, United
Vin Sur Vingt Wine Bar, 66 W 84th St, New York, NY 10024, United States, United
Jacob's Pickles, 509 Amsterdam Ave, New York, NY 10024, United States, United
Nice Matin, 201 W 79th St, New York, NY 10024, United States, United
Tasca NYC, 505 Columbus Ave, New York, NY 10024, United States, United
Sushi Ishikawa, 207 W 80th St, New York, NY 10024, United States, United
Vanessa's Dumpling House, 452 Amsterdam Ave, New York, NY 10024, United States, United
WAU, 434 Amsterdam Ave, New York, NY 10024, United States, United
Gazala’s, 447 Amsterdam Ave, New York, NY 10024, United States, United
French Roast, 2340 Broadway, New York, NY 10024, United States, United
Bodrum Mediterranean Restaurant, 584 Amsterdam Ave, New York, NY 10024, United States, United
Mido, 612 Amsterdam Ave, New York, NY 10024, United States, United
Spiga Restaurant, 57 W 84th St, New York, NY 10024, United States, United
Fred's, 476 Amsterdam Ave, New York, NY 10024, United States, United
Lucciola, 621 Amsterdam Ave, New York, NY 10024, United States, United
Good Enough To Eat, 520 Columbus Ave, New York, NY 10024, United States, United
Spice (Upper West Side), 435 AMSTERDAM AVENUE AT, W 81st St, New York, 10024, United States, United
Cafe Eighty Two, 2282 Broadway, New York, NY 10024, United States, United
5 Napkin Burger, 2315 Broadway, New York, NY 10024, United States, United
Tacombi, 377 Amsterdam Ave, New York, NY 10024, United States, United
Momoya Upper West, 427 Amsterdam Ave, New York, NY 10024, United States, United
Hi Life Bar & Grill, 477 Amsterdam Ave, New York, NY 10024, United States, United
Flame, 100 W 82nd St #5502, New York, NY 10024, United States, United
La Sirène, 416 Amsterdam Ave, New York, NY 10024, United States, United
Boka, 410 Amsterdam Ave, New York, NY 10024, United States, United
Telio Taverna, 520 Columbus Ave, New York, NY 10024, United States, United
Amelie UWS, 566 Amsterdam Ave, New York, NY 10024, United States, United
Celeste, 502 Amsterdam Ave, New York, NY 10024, United States, United
Carmine's Italian Restaurant - Upper West Side, 2450 Broadway, New York, NY 10024, United States, United
Bella Luna Restaurant, 574 Columbus Ave, New York, NY 10024, United States, United
Mamoun's Falafel - UWS, Manhattan, NY, 508 Columbus Ave, New York, NY 10024, United States, United
Maison Pickle, 2315 Broadway, New York, NY 10024, United States, United
Dagon, 2454 Broadway, New York, NY 10024, United States, United
Senn Thai Comfort Food, 452 Amsterdam Ave, New York, NY 10024, United States, United
Thyme & Tonic, 474 Columbus Ave, New York, NY 10024, United States, United
New Cottage, 2199 Broadway, New York, NY 10024, United States, United
Crave Fishbar Upper West Side, 428 Amsterdam Ave, New York, NY 10024, United States, United
Elea, 217 W 85th St, New York, NY 10024, United States, United
Chama Mama, 373 Amsterdam Ave, New York, NY 10024, United States, United
Song’e Napule Upper West, 464 Amsterdam Ave, New York, NY 10024, United States, United
Jin Ramen Upper West Side, 462 Amsterdam Ave, New York, NY 10024, United States, United
Cibo e Vino, 2418 Broadway, New York, NY 10024, United States, United
Kitaro Sushi, 510 Amsterdam Ave, New York, NY 10024, United States, United
Han Dynasty Upper West Side, 215 W 85th St, New York, NY 10024, United States, United
Swagat, 411A Amsterdam Ave, New York, NY 10024, United States, United
Uptown Poké, 506 Amsterdam Ave, New York, NY 10024, United States, United
The Viand, 517 Columbus Ave, New York, NY 10024, United States, United
City Diner, 2441 Broadway, New York, NY 10024, United States, United
Cilantro, 485 Columbus Ave, New York, NY 10024, United States, United
Poulet Sans Tete, 590 Amsterdam Ave, New York, NY 10024, United States, United
The Consulate UWS, 519 Columbus Ave, New York, NY 10024, United States, United
Sarabeth's, 423 Amsterdam Ave, New York, NY 10024, United States, United
Tri Dim Shanghai West Restaurant and Bar 鼎豐 [UWS], 467 Columbus Ave, New York, NY 10024, United States, United
The Milling Room, 446 Columbus Ave, New York, NY 10024, United States, United
Joe's Steam Rice Roll, 422 Amsterdam Ave, New York, NY 10024, United States, United
RedFarm, 2170 Broadway, New York, NY 10024, United States, United
Covacha, 368 Columbus Ave, New York, NY 10024, United States, United
The Cottage, 360 Amsterdam Ave, New York, NY 10024, United States, United
Luke's Lobster Upper West Side, 426 Amsterdam Ave, New York, NY 10024, United States, United
Tarallucci e Vino Upper West Side, 475 Columbus Ave, New York, NY 10024, United States, United
Flor de Mayo, 484 Amsterdam Ave, New York, NY 10024, United States, United
Chick Chick, 618 Amsterdam Ave, New York, NY 10024, United States, United
Nina’s Great Burrito Bar, 522 Columbus Ave, New York, NY 10024, United States, United
Serafina Italian Restaurant 77th Upper West, 2178 Broadway, New York, NY 10024, United States, United
Bellini, 483 Columbus Ave, New York, NY 10024, United States, United
